matchid,date
../Matches/MatchScorecard_T20.asp?MatchCode=1069,2020-07-01
../Matches/MatchScorecard_T20.asp?MatchCode=1068,2020-05-01
../Matches/MatchScorecard_ODI.asp?MatchCode=4398,2020-01-14
../Matches/MatchScorecard_ODI.asp?MatchCode=4388,2019-12-22
../Matches/MatchScorecard_ODI.asp?MatchCode=4387,2019-12-18
../Matches/MatchScorecard_ODI.asp?MatchCode=4385,2019-12-15
../Matches/MatchScorecard_T20.asp?MatchCode=1067,2019-11-12
../Matches/MatchScorecard_ODI.asp?MatchCode=4360,2019-11-08
../Matches/MatchScorecard_T20.asp?MatchCode=1055,2019-10-11
../Matches/MatchScorecard_ODI.asp?MatchCode=4268,2019-10-03
../Matches/MatchScorecard_T20.asp?MatchCode=0745,2019-10-02
../Matches/MatchScorecard_T20.asp?MatchCode=0926,2019-09-22
../Matches/MatchScorecard_T20.asp?MatchCode=0921,2019-09-18
../Matches/MatchScorecard_ODI.asp?MatchCode=4353,2019-09-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4362,2019-08-14
../Matches/MatchScorecard_T20.asp?MatchCode=1065,2019-08-12
../Matches/MatchScorecard_ODI.asp?MatchCode=4359,2019-08-08
../Matches/MatchScorecard_T20.asp?MatchCode=0744,2019-08-02
../Matches/MatchScorecard_T20.asp?MatchCode=1047,2019-07-11
../Matches/MatchScorecard_ODI.asp?MatchCode=4342,2019-06-30
../Matches/MatchScorecard_T20.asp?MatchCode=1063,2019-06-12
../Matches/MatchScorecard_T20.asp?MatchCode=0877,2019-06-08
../Matches/MatchScorecard_ODI.asp?MatchCode=4350,2019-06-07
../Matches/MatchScorecard_T20.asp?MatchCode=0742,2019-06-02
../Matches/MatchScorecard_T20.asp?MatchCode=0874,2019-04-08
../Matches/MatchScorecard_ODI.asp?MatchCode=4270,2019-03-13
../Matches/MatchScorecard_T20.asp?MatchCode=1042,2019-03-11
../Matches/MatchScorecard_T20.asp?MatchCode=0872,2019-03-08
../Matches/MatchScorecard_T20.asp?MatchCode=0767,2019-02-27
../Matches/MatchScorecard_T20.asp?MatchCode=0766,2019-02-24
../Matches/MatchScorecard_ODI.asp?MatchCode=4345,2019-02-07
../Matches/MatchScorecard_T20.asp?MatchCode=0732,2018-11-25
../Matches/MatchScorecard_T20.asp?MatchCode=0731,2018-11-23
../Matches/MatchScorecard_T20.asp?MatchCode=0730,2018-11-21
../Matches/MatchScorecard_T20.asp?MatchCode=0728,2018-11-11
../Matches/MatchScorecard_ODI.asp?MatchCode=4219,2018-10-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4216,2018-10-24
../Matches/MatchScorecard_ODI.asp?MatchCode=4213,2018-10-21
../Matches/MatchScorecard_T20.asp?MatchCode=0672,2018-08-03
../Matches/MatchScorecard_T20.asp?MatchCode=0727,2018-06-11
../Matches/MatchScorecard_T20.asp?MatchCode=0671,2018-06-03
../Matches/MatchScorecard_T20.asp?MatchCode=0725,2018-04-11
../Matches/MatchScorecard_T20.asp?MatchCode=0631,2017-09-07
../Matches/MatchScorecard_T20.asp?MatchCode=0608,2017-01-02
